Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"SCALL1","D","Statewide Calling 1","Interop","Statewide Interoperability"
2,002,"STAC2","D","Statewide Tactical 2","Multi-Tac","Statewide Interoperability"
3,003,"STAC3","D","Statewide Tactical 3","Multi-Tac","Statewide Interoperability"
4,004,"STAC4","D","Statewide Tactical 4","Multi-Tac","Statewide Interoperability"
5,005,"STAC5","D","Statewide Tactical 5","Multi-Tac","Statewide Interoperability"
6,006,"STAC6","D","Statewide Tactical 6","Multi-Tac","Statewide Interoperability"
7,007,"STAC7","D","Statewide Tactical 7","Multi-Tac","Statewide Interoperability"
8,008,"STAC8","D","Statewide Tactical 8","Multi-Tac","Statewide Interoperability"
11,00b,"RCALL11SW","D","SW Region Calling 11","Interop","Southwest Area Interoperability"
12,00c,"RTAC12SW","D","SW Region Tactical 12","Multi-Tac","Southwest Area Interoperability"
13,00d,"RTAC13SW","D","SW Region Tactical 13","Multi-Tac","Southwest Area Interoperability"
14,00e,"RTAC14SW","D","SW Region Tactical 14","Multi-Tac","Southwest Area Interoperability"
21,015,"RCALL21SE","D","SE Region Calling 21","Interop","Southeast Area Interoperability"
22,016,"RTAC22SE","D","SE Region Tactical 22","Multi-Tac","Southeast Area Interoperability"
23,017,"RTAC23SE","D","SE Region Tactical 23","Multi-Tac","Southeast Area Interoperability"
24,018,"RTAC24SE","D","SE Region Tactical 24","Multi-Tac","Southeast Area Interoperability"
31,01f,"RCALL31EC","D","EC Region Calling 31","Interop","East Central Area Interoperability"
32,020,"RTAC32EC","D","EC Region Tactical 32","Multi-Tac","East Central Area Interoperability"
33,021,"RTAC33EC","D","EC Region Tactical 33","Multi-Tac","East Central Area Interoperability"
34,022,"RTAC34EC","D","EC Region Tactical 34","Multi-Tac","East Central Area Interoperability"
41,029,"RCALL41NE","D","NE Region Calling 41","Interop","Northeast Area Interoperability"
42,02a,"RTAC42NE","D","NE Region Tactical 42","Multi-Tac","Northeast Area Interoperability"
43,02b,"RTAC43NE","D","NE Region Tactical 43","Multi-Tac","Northeast Area Interoperability"
44,02c,"RTAC44NE","D","NE Region Tactical 44","Multi-Tac","Northeast Area Interoperability"
51,033,"RCALL51WC","D","WC Region Calling 51","Interop","West Central Area Interoperability"
52,034,"RTAC52WC","D","WC Region Tactical 52","Multi-Tac","West Central Area Interoperability"
53,035,"RTAC53WC","D","WC Region Tactical 53","Multi-Tac","West Central Area Interoperability"
54,036,"RTAC54WC","D","WC Region Tactical 54","Multi-Tac","West Central Area Interoperability"
61,03d,"RCALL61NW","D","NW Region Calling 61","Interop","Northwest Area Interoperability"
62,03e,"RTAC62NW","D","NW Region Tactical 62","Multi-Tac","Northwest Area Interoperability"
63,03f,"RTAC63NW","D","NW Region Tactical 63","Multi-Tac","Northwest Area Interoperability"
64,040,"RTAC64NW","D","NW Region Tactical 64","Multi-Tac","Northwest Area Interoperability"
71,047,"HAZMAT","D","Statewide Haz Mat regional specialty teams","Fire-Tac","Statewide Interoperability"
72,048,"COLLAPSE","D","Statewide Collapse regional specialty teams","Fire-Tac","Statewide Interoperability"
73,049,"MABAS1","D","Statewide MABAS 1 - Coordination","Fire-Tac","Statewide Interoperability"
74,04a,"MABAS2","D","Statewide MABAS 2 - Administration","Fire-Tac","Statewide Interoperability"
76,04c,"EPS1","D","WEM Emergency Police Services","Law Tac","Statewide Interoperability"
94,05e,"TEST94","D","System Testing/Demo 94","Public Works","System Testing"
95,05f,"TEST95","D","System Testing/Demo 95","Public Works","System Testing"
96,060,"TEST96","D","System Testing/Demo 96","Public Works","System Testing"
97,061,"TEST97","D","System Testing/Demo 97","Public Works","System Testing"
98,062,"TEST98","D","System Testing/Demo 98","Public Works","System Testing"
99,063,"TEST99","D","System Testing/Demo 99","Public Works","System Testing"
100,064,"WSPCOMATG","D","WSP Radio Techs - ATG","Other","State Patrol: Radio Technicians"
